Source/Table Type,Workspace Name,Dataflow Name (Source Name),Table Name (Entity Name),Owner (Bus/Dev),Last Model / Catalog Update,Table/Entity Description,Table/Entity Grain,Dependencies
Custom Tables,(DATA) HC Data Warehouse,Ministry,Ministry DimMinistryLocation,Jeremiah/Chris Dennis,5/10/2024,"• Table containing metadata for ministry locations. A ministry location is a parent ministry represented at a specific location or campus. i.e., Daniel Plan - San diego
• there are general ministries and local (per-campus) ministries. In HC, when a general ministry is inactive, all related local ministries are also changed to inactive",one row per ministry per campus,
Custom Tables,(DATA) HC Data Warehouse,Ministry,Summary vwMinistryLocationDetail,Jeremiah/Chris Dennis,5/10/2024,"• minsitry location data with staff connector. The table's use case is when a Staff Connector slicer is needed for the user
• there are general ministries and local (per-campus) ministries. In HC, when a general ministry is inactive, all related local ministries are also changed to inactive",one row per ministry per campus,
Custom Tables,(DATA) HC Production,Data Capture,public view_data_capture_existing_fact,Kirk/Kirk,5/6/2024,"• Contains HC attendance/baptisms/salvation data exactly as it is in HC
•  this table has the create date and time (UTC time zone) of each data entry to the HC data capture module. ",one row per data capture entry (this can be attendance/baptisms/salvations),
Custom Tables,(DATA) 3rd Party,JeremiahC_GoogleAnalytics_GA4,extracted Medium data (legacy),Jeremiah,4/25/2024,"• (legacy) means it is for the old saddleback.com
• this table is currently sample data stored in an Excel workbook on Sharepoint/Teams. 
• The Sample data is generated by a local .pbix file. This file is sourced from the GA4 dataflows in (DATA) Dev Sandbox Workspace","• one row per date per URL. 
• the URL is for computer and mobile devices. the exact name is ""unifiedPagePathScreen""",
Custom Tables,(DATA) 3rd Party,JeremiahC_GoogleAnalytics_GA4,extracted Metrics data (legacy),Jeremiah,4/25/2024,"• (legacy) means it is for the old saddleback.com
• this table is currently sample data stored in an Excel workbook on Sharepoint/Teams. 
• The Sample data is generated by a local .pbix file. This file is sourced from the GA4 dataflows in (DATA) Dev Sandbox Workspace","• one row per date per URL. 
• the URL is for computer and mobile devices. the exact name is ""unifiedPagePathScreen""",
Custom Tables,(DATA) 3rd Party,JeremiahC_GoogleAnalytics_GA4,extracted Medium data (skinny),Jeremiah,4/25/2024,"• (skinny) means it is for the new welcome.saddleback.com
• this table is currently sample data stored in an Excel workbook on Sharepoint/Teams. 
• The Sample data is generated by a local .pbix file. This file is sourced from the GA4 dataflows in (DATA) Dev Sandbox Workspace","• one row per date per URL. 
• the URL is for computer and mobile devices. the exact name is ""unifiedPagePathScreen""",
Custom Tables,(DATA) 3rd Party,JeremiahC_GoogleAnalytics_GA4,extracted Metrics data (skinny),Jeremiah,4/25/2024,"• (skinny) means it is for the new welcome.saddleback.com
• this table is currently sample data stored in an Excel workbook on Sharepoint/Teams. 
• The Sample data is generated by a local .pbix file. This file is sourced from the GA4 dataflows in (DATA) Dev Sandbox Workspace","• one row per date per URL. 
• the URL is for computer and mobile devices. the exact name is ""unifiedPagePathScreen""",
Custom Tables,(DATA) 3rd Party,JeremiahC_GoogleAnalytics_GA4,GA4_Metrics_perWeek [0-2 months],Jeremiah,4/25/2024,"• currently there is NO DATA due to limitations with the Power BI Google Analytics connector
• it is for the new welcome.saddleback.com
","• one row per date per URL. 
• the URL is for computer and mobile devices. the exact name is ""unifiedPagePathScreen""",
Custom Tables,(DATA) 3rd Party,JeremiahC_GoogleAnalytics_GA4,GA4_Session_SourceMedium [0-2 months],Jeremiah,4/25/2024,"• currently there is NO DATA due to limitations with the Power BI Google Analytics connector
• it is for the new welcome.saddleback.com
","• one row per date per URL. 
• the URL is for computer and mobile devices. the exact name is ""unifiedPagePathScreen""",
Custom Tables,(DATA) HC Production,Custom Small Group Tables,custom sg_age_group_dim,Kirk,3/29/2024,"• this is the age group dimension table for the custom small group table
• one small group can have none or multiple age groups associated with it
• this dimension describes the age groups that a particular small group is for
• no filters applied to this table",• each row is a unique age group and small group combination,
Custom Tables,(DATA) HC Production,Custom Small Group Tables,custom sg_demographic_dim,Kirk,3/29/2024,"• this is the demographic dimension table for the custom small group table
• one small group can have none or multiple demographics associated with it
• this dimension describes the demographic that a particular small group is for
• no filters applied to this table",• each row is a unique demographic and small group combination,
Custom Tables,(DATA) HC Production,Custom Small Group Tables,custom sg_lifestage_dim,Kirk,3/29/2024,"• this is the life stage dimension table for the custom small group table
• one small group can have none or multiple life stages associated with it
• this dimension describes the life stage that a particular small group is for
• no filters applied to this table",• each row is a unique life stage and small group combination,
Custom Tables,(DATA) HC Production,Custom Small Group Tables,custom sg_tag_dim,Kirk,3/29/2024,"• this is the tags dimension table for the custom small group table
• one small group can have none or multiple tag associated with it
• no filters applied to this table",• each row is a unique tag and small group combination,
Custom Tables,(DATA) HC Production,Custom Small Group Tables,custom smallgroup_address,Kirk,3/29/2024,"• this table contains the small group meeting address information
• no filters applied to this table
• join to the custom small group table on Location_Id on both sides",• each row is a unique small group address record,
Custom Tables,(DATA) HC Production,Custom Small Group Tables,custom smallgroup_contact_log,Kirk,3/29/2024,"• this table is the main contact log, see engagement listing, but for contact engagements only
• main use is to identify group contacts, join to custom small group on recepient_smallgroup_id
• base contact log table is not filtered, process to get recipient small group id only includes participants with an active status
• use create_date as the date the contact was made, note that this is in UTC and thus may be slightly off from what is displayed on the groups app if used as is","• each row is a unique contact made by one individual to a small group individual, this is usually a host and thus related to that host's small group",
Custom Tables,(DATA) HC Production,Custom Small Group Tables,custom smallgroup_participant,Kirk,3/29/2024,"• this table includes all individuals who are marked as participants in a group, this will include hosts and co-hosts as well as standard participants
• no filtering has been applied to the base participants table","• each row is a unique group participant record, thus a unique individual and group combination",
Custom Tables,(DATA) HC Production,Custom Small Group Tables,custom smallgroup_leadership,Kirk,3/29/2024,"• this table contains the list of all current leaders for a particular small group
• this table only includes active and non-deleted leadership records (on the SG side not the person record side)
• a maximum heiarchy depth of 6 levels is taken into account for this table which the SG team agreed was more than enough","• each row is a unique combination of individual and small group, with each representing a leadership position in relation to the small group",
Custom Tables,(DATA) HC Production,Custom Small Group Tables,custom smallgroup,Kirk,3/29/2024,"• this table provides a single source for all core small group data
• for the custom small groups table model this is the central fact table to use
• please take note to apply filtering on the test groups and ministry not small group columns in addition to the deleted date column when using this table
• no filtering has been applied to the base small groups table",• each row represents a single small group in the HC small groups system,
Custom Tables,(DATA) Dev Sandbox,Google Analytics GA4,GA4_Metrics_perWeek,Jeremiah,3/29/2024,"• contains primary Google analytics metrics for Power BI report consumption. This includes: screenPageViews, screenPageViewsPerUser, Sessions, engagedSessions, activeUsers, newUsers, landingPage, unifiedPagePathScreen, userEngagementDuration (seconds), and platform
• there is no data for Saddleback Berlin because of Europe GDPR data privacy","• one row per week
• the week is formatted as the Year and the week's number of year. It starts on Sunday, ends on Saturday. For example. 1/1/23 was a Sunday and its number in this table is 20231",
Custom Tables,(DATA) Dev Sandbox,Google Analytics GA4,GA4_Events_perWeek,Jeremiah,3/29/2024,"•  contains primary Google analytics metrics for Power BI reports about configured events: This includes: Sessions, engagedSessions, activeUsers, unifiedPagePathScreen, eventValue, eventName, customEvent:event_Category, customEvent:value
• there is no data for Saddleback Berlin because of Europe GDPR data privacy","• one row per week
• the week is formatted as the Year and the week's number of year. It starts on Sunday, ends on Saturday. For example. 1/1/23 was a Sunday and its number in this table is 20231",
Custom Tables,(DATA) Dev Sandbox,Google Analytics GA4,GA4_Session_SourceMedium,Jeremiah,3/29/2024,"• table for analyzing the streams that contribute to site traffic
• contains primary Google analytics metrics for Power BI report detailed analytics. This includes: Sessions, engagedSessions, activeUsers, , unifiedPagePathScreen, Source, Medium, operatingSystem, and platform
• there is no data for Saddleback Berlin because of Europe GDPR data privacy","• one row per week
• the week is formatted as the Year and the week's number of year. It starts on Sunday, ends on Saturday. For example. 1/1/23 was a Sunday and its number in this table is 20231",
Custom Tables,(DATA) HC Data Warehouse,Small Groups,Integration SmallGroup,,3/28/2024,,"partial data, not a whole schema",
Custom Tables,(DATA) HC Production,Ministry,public ministry,Jeremiah/Healthy Church,3/26/2024,,one row per ministry,
Custom Tables,(DATA) HC Production,Ministry,public ministry_category,Jeremiah/Healthy Church,3/26/2024,"a ministry category is an aggregate of ministries. E.g. ""Children"" or ""Adult Studies, Trainings...""",one row per ministry category,
Custom Tables,(DATA) HC Production,Ministry,public ministry_tag,Jeremiah/Healthy Church,3/26/2024,"• Table containing metadata for ministry tags
• this table is possibly a subset of the tag table",one row per tag per ministry,
Custom Tables,(DATA) HC Data Warehouse,Ministry,Ministry DimMinistry,Jeremiah/Chris Dennis,3/26/2024,Table containing metadata for ministries,one row per ministry,
Custom Tables,(DATA) HC Data Warehouse,Ministry,Ministry DimMinistryMembers,Jeremiah/Chris Dennis,3/26/2024,"Table containing information about people who are in ministry rosters in any status. Each volunteer status is a column

0 Not Contacted
1 First Contact
2 Second Contact
3 Pending
4 Ineligible
5 Active
6 Inactive
7 In Training",one row per ministry per campus per person ID,
Custom Tables,(DATA) HC Data Warehouse,Ministry,Ministry DimMinistryTag,Jeremiah/Chris Dennis,3/26/2024,Table containing metadata for ministry tags,one row per tag per ministry,
Custom Tables,(DATA) HC Data Warehouse,Ministry,Summary MonthlyMinistryMetrics,Jeremiah/Chris Dennis,3/26/2024,Summary view of Ministry volunteers per campus per month per year. Table is only updated at the end of each month,one row per ministry per campus per month,
Custom Tables,(DATA) HC Data Warehouse,Custom DWH Tables,custom RegionCampusRollup,Kirk,3/25/2024,"• This table is designed to provide a single place to get the region and campus level data rolled up when joining to either a DWH or HC campus id
• Data is souced from two base tables, campus region junction which is labeled as Record_Type = rollup lvl and campus level data which is labeled as Record_Type = campus lvl
• For rollup lvl data all campus region rollup records are displayed
• For campus lvl data all campuses except the N/A campus is included.  
*Becuase of this joining to the custom campus table and filtering based on exclusion is still required",• Each row represents a unique campus region combination or in the case of campus lvl data a unique campus,
Custom Tables,(DATA) HC Production,Person,public person_occupation,,2/8/2024,• contains an important column called is_staff that indicates whether someone works at Saddleback Church,one row per person record's occupation,
Custom Tables,(DATA) HC Production,Custom Forms Transition,FormCard_Entry_Summary,Kirk,1/26/2024,"• This table combines the response card and form data into one at the entry level.  In addition template level data from both systems is brought in as well as relevant event date, time, and campus information as available.
• Indicator Codes:
""Source_Ind"": 1 = Response Cards, 2 = Forms
""Entry_Source_Ind"": 1 = Web/Mobile App, 2 = Physical Cards
""Service_Flag"": 1 = Weekend Service, 0 = Other
""Custom_TemplateType_Ind"": R = Response Card/worship service event, W = Welcome Card, U = Unknown, Reg = regular event type, Quiz = quiz event type, null = not a service
*Custom_TemplateType_Ind, is based on custom catagorization for response cards.  For connection forms, the categorization is based on template type by default.  Worship service goes to ""R"", all ""W"" are overrides.
*Standard filtering for weekend cards only is to include custom_templatetype_ind in {R,W}.
• ""Custom Card Date"": this field represents the best calcualted/estimated date the card/form was filled out and submitted by the individual.  Simmilar to Entry date.  This table can also be joined to the ""FormCard_CustomServiceWeek"" table to allow rollup of cards to weekend.
• ""Custom Weekend DateTime"": is the best calculated/estimated service date and time for the card/forms tied to a service where possible and if not to a specific weekend (Sunday) date.
• ""Unique Counter ID"": can be used with the count distinct function to return deduplicated card/form counts based on report aggrigation.
• Entry date (recommnded to use custom card date instead) is actually create date for response cards.
* The ""Service_Flag"" field is based on the response card being related to a valid event which has the service flag attached to it.  Data profiling has indicated that some valid response cards may not have this relationship setup and thus do not get a ""Service_Flag ""=1.  Instead using the ""Custom_TemplateType_Ind"" in (R,W) has proven to be a better method to identify all service related response cards.  Please see the KPI document for more information.","• Each row represents a single response card/form filled out and submitted.
*Test cards (from the Response Cards tables) and entries made by testers (from all tables) are removed from this table.
• Form_EntryId is the HC Forms source ID and can be used to look up cards by URL. 
the form template ID is also needed from table 'public connection_form_template'
Example https://hc.saddleback.com/data-capture/connection-forms/339/entries/edit/52571",
Custom Tables,(DATA) HC Production,Ministry,public serving_opportunity_tag,Jeremiah/Healthy Church,1/24/2024,Table containing id for serving opportunity tags. This cross references to the 'public tag' table,one row per tag per serving opportunity,
Custom Tables,(DATA) HC Production,Shared,public tag,,1/24/2024,"Table containing metadata for all tags: ministry, serving opportunity, event, ",one row per tag,
Custom Tables,(DATA) HC Data Warehouse,Custom DWH Tables,custom DemographicRollup,Jeremiah/Kirk,12/4/2023,"• This table was designed to be joined to the DimDemographics table on demographic id
• The join will result in a many to many relationship
• The rollup allows the use of the DemographicRollupName in slicers and filters to filter multiple demographics at once",This is a rollup table so table grain is demographic id and rollup name,
Custom Tables,(DATA) HC Production,Custom Journey Tables,Journey_Journey,Kirk,11/15/2023,"• IsPublished_Current_Flag is 1 if the current date is between the published start and end date or end date is not set.  Start date must be set and prior to current date.
• Deleted journeys are excluded",Each row represents one journey,
Custom Tables,(DATA) HC Production,Custom Journey Tables,Journey_JourneyStep,Kirk,11/15/2023,"• All relivant step information is here along with the step grouping information
• Journey steps can be sorted by JourneyStep_StepOrder and this should match the order with group and step hiarchy seen in HC
• Deleted journey steps, step groups, and steps with deleted journey to step relationships are excluded
• StepTitle_wSort and StepGroupTitle_FullName_wSort represent the sort order ###: Name Value.  These are meant to be used directly when requireing a sorted group or step",Each row is a unique step in a journey.  Records should be unique on JourneyStep_Id,
Custom Tables,(DATA) HC Production,Custom Journey Tables,Journey_JourneyPerson,Kirk,11/15/2023,"• This table joins the person record to a journey that individual subscribed to
• Deleted person jouney relationships are removed",Each row is a unique person journey combination.  Ie. one person taking ten journeys would be ten records here.,
Custom Tables,(DATA) HC Production,Custom Journey Tables,Journey_JourneyPersonStep,Kirk,11/15/2023,"• This tables columns are the same as the Journey_JourneyStep table with the addition of columns related to when a person last completed or skipped a step
• When a person subscribes to a journey all steps related to that journey will show up here
• Deleted journey steps, step groups, and steps with deleted journey to step relationships and person journey steps completed are excluded
• StepTitle_wSort and StepGroupTitle_FullName_wSort represent the sort order ###: Name Value.  These are meant to be used directly when requireing a sorted group or step",Each person journey step is a record here.  Ie. one person taking two journeys each with five steps would be ten records here regardless of how many steps they completed.,
Custom Tables,(DATA) ME App,DeviceDateCampus_FactTables,DeviceDateCampus_FactUsage,Kirk,11/13/2023,"• This table contains unique devices per date and campus selected as well as flags for if particular actions/views were made during that date and campus time per device id
• Device Id is what is currently the id being used to identify unique individuals (usu. count distinct on this column)
• Only includes data for last 180 days","Each row is a unique device id, day, and campus (thus where one person accessed the app on a particular day and selected a particular campus)",
Custom Tables,(DATA) ME App,DeviceDateCampus_FactTables,DeviceDateCampus_DimLocation,Kirk,11/13/2023,"• This table was designed to be a cross reference table allowing the  DeviceDateCampus_FactUsage and DeviceDateCampus_DimLocation tables to be joined
• This table assits in the normalization of the location data, since one device id for one day and one campus may have been accessed at multiple locations
• Only includes data for last 180 days",Each row is a unique combination of DeviceDateCampus_Key and LocationKey,
Custom Tables,(DATA) ME App,DeviceDateCampus_FactTables,DeviceDateCampus_BridgeLocation,Kirk,11/13/2023,"• This table contains each unique location where a device accessed the ME App
• Only includes data for last 180 days","Each row is a unique location (location key), where the combination of city, state, and country are unique",
Custom Tables,(DATA) 3rd Party,Transistor Podcasts,TransistorEpisodeAnalytics,Jeremiah,11/13/2023,This table contains podcast episode download information aggregated (counted) for each day. The data source is Transistor. There is also a column called [RowKey] that contains the date value for each row,Each row represents one download count for each podcast episode. The episode id is in the column [PartitionKey],
Custom Tables,(DATA) 3rd Party,Transistor Podcasts,TransistorEpisodes,Jeremiah,11/13/2023,"This table contains episode information for all Saddleback Church podcasts, which are hosted on Transistor. The standard episode information icludes, title, description, date, publishing status, keyword, etc.","Each row represents one podcast episode. If an episode is hosted on multiple podcast platforms, the table will produce only one row for the episode",
Custom Tables,(DATA) 3rd Party,MAPP Prod,MAPP_Messages,Kirk/Robert Harmless,11/1/2023,"• MAPP email management email message level data.  All statistics at this level are updated for seven days and then become static.
• Robert Harmless wrote some Azure Logic Apps and Function Apps with a little Data Factory to request the data and put it into Azure Table Storage. This daily pulls data from the MAPP API - requesting data from the past 7.
• Azure storage account: sbstoragelrs1prod
• church_entity_id will contain either the HC Campus ID or ""Other"" and is a custom calculation based on the campus name being contained in the ""included_groups"" column
• church_entity_id, assumes that only one campus is included (only one will be choosen even if multiple are available).  It is manually updated in the code and thus when new campuses are added or campus names change the code needs to be changed as well.  Based on message name first then segment.
• custom_message_name is an Excel file to correct typos in the message_name due to user error.",Each row represents one email message sent out (to groups of users).  The unique identifier is the RowKey.,
Custom Tables,(DATA) HC Production,Ministry,public serving_opportunity_volunteer_check_in,Jeremiah/Healthy Church,10/24/2023,"• currently this serving opportunity volunteer check in data is not confirmed to hydrate into the corresponding data warehouse tables ""Events DimEventAttendeeCheckIn"" NOR ""Ministry ServingOpportunityOccurrenceCheckIn (name TBD)""",one row per serving opportunity per volunteer per sub venue id,
Custom Tables,(DATA) HC Production,Custom Forms Transition,FormCard_CustomServiceWeek,Kirk,10/6/2023,"• This table contains dates with related customized weekend date ranges
• In general the Sat goes forward to Sunday and Monday - Friday go back to the Sunday logic is used.  For special events weekends are modified, see notes.",• Each row represents one day,
Custom Tables,(DATA) HC Production,Custom Forms Transition,FormCard_CustomQuestionClass,Kirk,10/6/2023,"• This table is based on hard coded question classification ID to NAME data in HC.
• The grouping column is custom for reporting and was designed to allow filtering of the ""WE Connections Flash Report"" to standadard questions only.
* It is important to note that this table was designed to allow slicing by grouping and thus is not unique on id.  To use the table for classification only filter grouping to ""All"" in power query.","• Each row is NOT unique on id (see description notes)
• No primary key, filtering may be required when using this table to get the expected results.",
Custom Tables,(DATA) HC Data Warehouse,Custom DWH Tables,custom Metrics ServiceWeeks,Jeremiah/Ron,10/3/2023,"• This table contains the service week and campus id combinations
• the reporting team needs this table to call the function Get.ServiceWeek in order to provide the pre-calculated logic for ServiceWeeks",Each row represents a unique combination of service week and campus id,
Custom Tables,(DATA) HC Data Warehouse,Custom DWH Tables,custom DimDate,Jeremiah/Ron,9/25/2023,"Standard dim date table with ""weekend"" columns added.  These columns provide the Weekend for service week. It starts on a Saturday and ends on the following Friday. The name of the service is the Sunday. For example, 11/5/22 is a Saturday and 11/6/22 is a Sunday. The Weekend with value 11/6/22 will extend from Saturday 11/5/22 to Friday 11/11/22.",Each row represents a single day,
Custom Tables,(DATA) 3rd Party,MAPP Prod,MAPP_Links,Kirk/Robert Harmless,8/15/2023,"• MAPP email management, email message link(s) level data.  All statistics at this level are updated for seven days and then become static.
• Robert Harmless wrote some Azure Logic Apps and Function Apps with a little Data Factory to request the data and put it into Azure Table Storage. This daily pulls data from the MAPP API - requesting data from the past 7.
• Azure storage account: sbstoragelrs1prod",Each row represents one link on an email message.  The unique identifier is the RowKey and the PartitionKey matches to the MAPP_Messages.RowKey.,
Custom Tables,(DATA) HC Production,Ministry,public ministry_member,Jeremiah/Healthy Church,8/14/2023,- the table does not update the leadership status of a ministry member if it changes,one row per per ministry per campus per person,
Custom Tables,(DATA) HC Production,Person,public note,Kirk/Kirk,8/8/2023,This table contains the person note information and can be tied other tables that reference the note fields in Healthy Church.  This table is filtered so that sinsitive notes are NOT available here as they are usually not used for reporting.,Each row is a single person note entry.,
Custom Tables,(DATA) HC Production,Contact,public contact_log,Kirk/Kirk,8/3/2023,This table contains the records of contacts made to individuals using the Healthy Church small group application/module.,Each row represents a single contact made to a specific person at a specifc time.,
Custom Tables,(DATA) HC Production,Contact,lookups contact_log_method,Kirk/Kirk,8/3/2023,A lookup table for the 'public contact_log' table.  Contains the method of contact for the contact record.,Each row is a single contact method and status of that method.,
Custom Tables,(DATA) HC Production,Contact,lookups contact_log_status,Kirk/Kirk,8/3/2023,A lookup table for the 'public contact_log' table.  Contains the status for the contact record.,Each row is a single contact status and status of that status.,
Custom Tables,(DATA) Dev Sandbox,KirkY_SGHostEmail_MAPPDev,mappSubscribersHistory,Jeremiah/Kirk,7/26/2023,"• PartitionKey matches with MAPP_Messages RowKey
• table contains data about subscriber bounces, opt outs, etc.",• one row per email subscriber per email. One user email can be subscribed tomultiple email content newsletters,
Custom Tables,(DATA) HC Data Warehouse,Custom DWH_HC Tables,custom PersonLastEngagement,Kirk/Ron,7/20/2023,"• person ID for all individuals with the LastEngagmentDate based on the DWH person engagement table.  
•ExclusionFlag = 1 when (Registered for a Light of the World and/or Grocery Distribution event OR person has food pantry note OR person has CR Baptism Form) AND individuals first and only contact with the church was LOTW or FP or CR Bapt. Form.
- Using ExclusionFlag: This flag is use for improving the accuracy of the Active Attenders count by removing ExclusionFlag = 1
• This table also contains food pantry salvation information.  The FP_SalvationFlag column = 1 if the person has a food pantry salvation note on their record.  The FPS_Note and FPS_NoteCreatedDate indicate the FIRST instance of food panry salavtion node with the actual note text as well as the note date.
- Using FP_SalvationFlag: When counting Decisions do not count FP_SalvationFlag = 1. When counting person with certain touchpoints, include people with FP_SalvationFlag = 1
• Replaced custom PersonlastEngagement that was in the custom DWH Tables dataflow.",Each row represents a person unique ID for all individuals who exist in the people dimPerson table,
Custom Tables,(DATA) HC Production,Custom HC Tables,custom Person_Spouse,Kirk/Ron,7/11/2023,"• Each person with their corresponding spouse person unique id.  based on the HC table person_relationship.
• Single individuals show a 99999999 for unique spouse id.
• NOTE: person_relationship is a different data structure from person_relationship_status. But per Healthy Church team process, they update the relationship when there is a split e.g. Divorce",Each row represents one person in HC (unique_id column),
Custom Tables,(DATA) HC Production,Custom HC Tables,custom Person_Household_Spouse,Kirk/Ron,7/11/2023,"• Each person with their corresponding custom created household key (households based on the HC table person_relationship.). 
• This table is used a cross reference between 'custom Central_Household' and DimPerson
• NOTE: person_relationship is a different data structure from person_relationship_status. But per Healthy Church team process, they update the relationship when there is a split e.g. Divorce
• Past: Used to be ""reports View_Person_Household_Spouse""",Each row represents one person in HC.,
Custom Tables,(DATA) HC Data Warehouse,Custom Touchpoint Addendum,PersonEngagement R&I Add Spouse,Kirk/Kirk,6/22/2023,"• This table is designed to be appended to the 'people PersonEngagement' table to create new engagement records for selected spouse touchpoints.
• Included DW TouchpointID's: 4, 57, 60, 61, 83, 86. (which include children dedication, baptism and last giving)
Touchpoints that meet the id criteria above and are tied to a person who has a spouse will be duplicated/created in this table with the spouse PersonID and UniquePersonID (all other column info is the same).",The grain for this table will replicate that of the 'people PersonEngagement' table.,
Custom Tables,(DATA) HC Data Warehouse,Custom Touchpoint Addendum,DimTouchpoint R&I Add First Giving,Kirk/Kirk,6/22/2023,"This table is designed to be appended to the 'people DimTouchpoint' table to create a new record for the first giving date touchpoint.  This should be used in conjunction with the 'PersonEngagement R&I Add First Giving wSpouse' table.
All data in this table has been manually entered.",This table follows the same grain as the 'people DimTouchpoint' table and only contains a single row.,
Custom Tables,(DATA) HC Data Warehouse,Custom Touchpoint Addendum,PersonEngagement R&I Add First Giving wSpouse,Kirk/Kirk,6/22/2023,"• This table is designed to be appended to the 'people PersonEngagement' table to create new records for the first giving date touchpoint. (earliest First Giving date is 12/24/2016)  This should be used in conjunction with the 'DimTouchpoint R&I Add First Giving' table.
• This table is based on the person's first giving date in the 'custom DimPerson' (referencing logic, not table directly).  For individuals who also have a spouse, an additional record (all same data except for person information) is created for the person's spouse.",Each row in this table relates to a single person (or their spouse) first giving date.  It is possible to have two first giving touchpoint records for the same person if both husband and wife have a first giving date (each gets duplicated for spouse).,
